date,open,high,low,close,volume,adjclose,dividends,splits
2020-04-22,7000.0,7150.0,6800.0,7100.0,10220900,5889.9833984375,0.0,0.0
2020-04-23,7100.0,7700.0,7050.0,7500.0,26530100,6221.81396484375,0.0,0.0
2020-04-24,7400.0,7700.0,7350.0,7500.0,28075100,6221.81396484375,0.0,0.0
2020-04-27,7500.0,7725.0,7425.0,7500.0,9643200,6221.81396484375,0.0,0.0
2020-04-28,7525.0,7925.0,7525.0,7850.0,21296700,6512.16455078125,0.0,0.0
2020-04-29,7900.0,8025.0,7650.0,8000.0,16761500,6636.60107421875,0.0,0.0
2020-04-30,8000.0,8450.0,8000.0,8275.0,28226900,6864.73388671875,0.0,0.0
2020-05-04,8250.0,8250.0,7850.0,7925.0,17119000,6574.38232421875,0.0,0.0
2020-05-05,8000.0,8300.0,7975.0,8300.0,18737600,6885.47314453125,0.0,0.0
2020-05-06,8300.0,8325.0,8050.0,8100.0,11498100,6719.55810546875,0.0,0.0
2020-05-08,8125.0,8200.0,7925.0,8050.0,11108900,6678.07958984375,0.0,0.0
2020-05-11,8050.0,8250.0,8050.0,8075.0,8239200,6698.81982421875,0.0,0.0
2020-05-12,8100.0,8225.0,8025.0,8175.0,11132700,6781.7763671875,0.0,0.0
2020-05-13,8175.0,8250.0,8050.0,8250.0,9910100,6843.994140625,0.0,0.0
2020-05-14,8225.0,8300.0,8125.0,8300.0,11861700,6885.47314453125,0.0,0.0
2020-05-15,8300.0,8600.0,8275.0,8575.0,23052700,7113.60595703125,0.0,0.0
2020-05-18,8800.0,8800.0,8325.0,8475.0,13193900,7030.64892578125,0.0,0.0
2020-05-19,8425.0,8575.0,8250.0,8250.0,12088400,6843.994140625,0.0,0.0
2020-05-20,8250.0,8350.0,8000.0,8050.0,16948600,6678.07958984375,0.0,0.0
2020-05-26,8050.0,8275.0,8050.0,8150.0,27690800,6761.03662109375,0.0,0.0
2020-05-27,8000.0,8250.0,8000.0,8200.0,15919300,6802.51611328125,0.0,0.0
2020-05-28,8200.0,8300.0,8000.0,8025.0,27680500,6657.33984375,0.0,0.0
2020-05-29,8050.0,8125.0,7750.0,7750.0,90601000,6429.20654296875,0.0,0.0
2020-06-02,7850.0,8200.0,7800.0,8100.0,27780700,6719.55810546875,0.0,0.0
2020-06-03,8200.0,8450.0,8125.0,8225.0,23576100,6823.25537109375,0.0,0.0
2020-06-04,8250.0,8325.0,8100.0,8175.0,16634700,6781.7763671875,0.0,0.0
2020-06-05,8175.0,8200.0,7975.0,8050.0,18066100,6678.07958984375,0.0,0.0
2020-06-08,8100.0,8225.0,8025.0,8200.0,12675400,6802.51611328125,0.0,0.0
2020-06-09,8250.0,8475.0,8200.0,8300.0,26608700,6885.47314453125,0.0,0.0
2020-06-10,8475.0,8475.0,8150.0,8200.0,15919600,6802.51611328125,0.0,0.0
